Module,Language,Key,Value,Placeholders
"reviews","ru","stats.verified","[RU] Verified","[RU]"
"reviews","sr","comment.placeholder","[SR] Placeholder","[SR]"
"reviews","sr","comment.tooShort","[SR] Too Short","[SR]"
"reviews","sr","cons.placeholder","[SR] Placeholder","[SR]"
"reviews","sr","form.submit","[SR] Submit","[SR]"
"reviews","sr","gallery.closeGallery","[SR] Close Gallery","[SR]"
"reviews","sr","gallery.fullscreenMode","[SR] Fullscreen Mode","[SR]"
"reviews","sr","gallery.nextImage","[SR] Next Image","[SR]"
"reviews","sr","gallery.of","[SR] Of","[SR]"
"reviews","sr","gallery.photo","[SR] Photo","[SR]"
"reviews","sr","gallery.previousImage","[SR] Previous Image","[SR]"
"reviews","sr","gallery.swipeToNavigate","[SR] Swipe To Navigate","[SR]"
"reviews","sr","list.anonymous","[SR] Anonymous","[SR]"
"reviews","sr","list.byDate","[SR] By Date","[SR]"
"reviews","sr","list.byHelpfulness","[SR] By Helpfulness","[SR]"
"reviews","sr","list.byRating","[SR] By Rating","[SR]"
"reviews","sr","list.confirm","[SR] Confirm","[SR]"
"reviews","sr","list.cons","[SR] Cons","[SR]"
"reviews","sr","list.dispute","[SR] Dispute","[SR]"
"reviews","sr","list.disputePlaceholder","[SR] Dispute Placeholder","[SR]"
"reviews","sr","list.disputeReason","[SR] Dispute Reason","[SR]"
"reviews","sr","list.disputeReview","[SR] Dispute Review","[SR]"
"reviews","sr","list.helpful","[SR] Helpful","[SR]"
"reviews","sr","list.pros","[SR] Pros","[SR]"
"reviews","sr","list.rating","[SR] Rating","[SR]"
"reviews","sr","list.seller","[SR] Seller","[SR]"
"reviews","sr","list.sellerConfirmed","[SR] Seller Confirmed","[SR]"
"reviews","sr","list.sortBy","[SR] Sort By","[SR]"
"reviews","sr","list.submit","[SR] Submit","[SR]"
"reviews","sr","list.verified","[SR] Verified","[SR]"
"reviews","sr","list.verifiedPurchase","[SR] Verified Purchase","[SR]"
"reviews","sr","list.withPhotos","[SR] With Photos","[SR]"
"reviews","sr","photos.dragText","[SR] Drag Text","[SR]"
"reviews","sr","photos.fileTypes","[SR] File Types","[SR]"
"reviews","sr","photos.limitReached","[SR] Limit Reached","[SR]"
"reviews","sr","photos.maxFiles","[SR] Max Files","[SR]"
"reviews","sr","progress.creating","[SR] Creating","[SR]"
"reviews","sr","progress.publishing","[SR] Publishing","[SR]"
"reviews","sr","progress.uploading","[SR] Uploading","[SR]"
"reviews","sr","pros.placeholder","[SR] Placeholder","[SR]"
"reviews","sr","section.alreadyReviewed","[SR] Already Reviewed","[SR]"
"reviews","sr","section.ownerCantReview","[SR] Owner Cant Review","[SR]"
"reviews","sr","stats.verified","[SR] Verified","[SR]"
"orders","en","statistics.allTime","[MISSING_EN] allTime","[MISSING_EN]"
"orders","en","statistics.monthlyComparison","[MISSING_EN] monthlyComparison","[MISSING_EN]"
"orders","en","statistics.orders","[MISSING_EN] orders","[MISSING_EN]"
"orders","en","statistics.perOrder","[MISSING_EN] perOrder","[MISSING_EN]"
"orders","en","statistics.spendingDecrease","[MISSING_EN] spendingDecrease {percent}","[MISSING_EN]"
"orders","en","statistics.spendingIncrease","[MISSING_EN] spendingIncrease {percent}","[MISSING_EN]"
"orders","en","statistics.spent","[MISSING_EN] spent","[MISSING_EN]"
"orders","en","activeFilters","[MISSING_EN] activeFilters","[MISSING_EN]"
